year,month,Luxury,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,basement,yr_built,yr_renovated,lat,long,price
2014,7,1,3.0000000000000004,2.5,2070.0,12623.999999999998,1.0,0,0,C,1540.0,1,1980.0000000000002,0.0,47.5936,-122.013,653450
2014,6,1,2.0,1.5,1640.0,4091.4,1.5,0,0,A,1540.0,1,1916.0000000000002,0.0,47.6624,-122.325,710000
2014,10,1,4.0,3.5,3720.0,8421.8,1.0,0,1,B,3720.0,0,2006.9999999999998,0.0,47.3216,-121.94,780000
2014,12,1,3.0000000000000004,3.5,2260.0,4079.7999999999997,2.0,0,0,B,1880.0,1,2003.0,0.0,47.64220000000001,-122.361,795000
2014,10,0,3.0000000000000004,2.0,2050.0000000000005,8873.0,1.0,0,0,A,1169.9999999999998,1,1960.0,0.0,47.7447,-122.328,399950
2014,6,0,2.0,1.0,930.0,12343.999999999998,1.0,0,0,B,930.0,0,1985.9999999999998,0.0,47.4866,-122.303,230000
2014,7,0,3.0000000000000004,2.5,2000.0000000000002,7800.200000000001,2.0,0,0,C,2000.0,0,1992.9999999999998,0.0,47.35080000000001,-122.057,290000
2014,6,1,3.0000000000000004,2.5,3350.0,8783.6,2.0,0,0,B,2550.0,1,2005.0,0.0,47.7277,-122.207,635000
2014,6,0,3.0000000000000004,2.0,2000.0000000000002,7660.599999999999,1.0,0,0,C,1300.0,1,1968.0,0.0,47.4346,-122.171,295000
2014,7,1,4.0,4.5,5010.0,12037.6,2.0,0,1,B,4000.0,1,2014.0,0.0,47.54549999999999,-122.211,2351960
2014,11,0,4.0,2.0,2100.0,6322.200000000001,1.5,0,0,A,1720.0000000000002,1,1924.0,0.0,47.5299,-122.266,445000
2014,7,0,2.0,1.0,550.0,6973.800000000001,1.0,0,0,B,550.0,0,1952.0000000000002,0.0,47.51100000000001,-122.348,115000
2014,12,1,4.0,3.0,2660.0000000000005,7129.400000000001,1.0,0,1,B,1930.0,1,1968.0,2006.0,47.616,-122.218,1444000
2014,8,0,4.0,1.5,1370.0,7517.2,1.0,0,0,B,1070.0,1,1953.0,0.0,47.4718,-122.32299999999998,296000
2014,7,0,3.0000000000000004,2.5,1529.9999999999998,7227.0,2.0,0,0,B,1530.0,0,1993.9999999999998,0.0,47.5691,-122.00699999999999,449950
2014,9,0,3.0000000000000004,1.0,1240.0,8287.4,1.0,0,0,C,1239.9999999999998,0,1971.9999999999998,0.0,47.4579,-122.09,270000
2014,8,0,10.0,1.5,1360.0,1111.8,2.0,0,0,B,1120.0,1,2003.0,0.0,47.6526,-122.384,396500
2014,12,0,3.0000000000000004,1.0,1010.0,12850.399999999998,1.0,0,0,A,1010.0,0,1974.0000000000002,0.0,47.3437,-122.078,270000
2014,10,0,5.0,2.5,2500.0,8347.6,1.0,0,0,B,1850.0,1,1978.9999999999998,0.0,47.7564,-122.144,467000
2014,10,0,3.0000000000000004,2.5,1500.0,7360.000000000001,2.0,0,0,C,1500.0000000000002,0,1992.0,0.0,47.3719,-122.091,240000
2014,11,1,3.0000000000000004,0.0,2180.0,9741.0,2.0,0,0,B,2180.0,0,1984.0,0.0,47.6215,-122.031,570000
2014,5,0,3.0000000000000004,2.0,1850.0,7918.800000000001,1.0,0,0,B,1320.0,1,1978.9999999999998,0.0,47.2975,-122.37000000000002,218000
2014,7,0,3.0000000000000004,2.5,2200.0000000000005,7366.4000000000015,2.0,0,0,B,2200.0,0,1985.0,0.0,47.31389999999999,-122.116,424000
2014,7,1,3.0000000000000004,1.5,1370.0,11000.8,1.0,0,0,B,1370.0000000000002,0,1955.0,0.0,47.6217,-122.19800000000001,815000
2014,7,1,3.0000000000000004,1.0,1640.0,4718.6,1.5,0,0,A,1500.0000000000002,1,1920.0,0.0,47.6169,-122.212,1014250
2014,9,0,4.0,2.0,2560.0,10654.199999999999,1.0,0,0,C,1349.9999999999998,1,1960.0,0.0,47.3326,-122.32299999999998,255000
2014,6,1,4.0,2.5,3030.0,12113.0,2.0,0,0,B,3030.0,0,2003.0,0.0,47.6675,-122.176,902000
2014,11,0,2.0,1.0,1120.0,7771.799999999999,1.0,0,1,B,750.0000000000001,1,1928.9999999999998,0.0,47.54209999999999,-122.378,320000
2014,8,1,4.0,3.0,2840.0000000000005,12917.6,1.0,0,1,C,1990.0,1,1974.0000000000002,0.0,47.7153,-122.257,760000
2014,11,0,3.0000000000000004,1.5,1010.0,7462.400000000001,1.0,0,0,B,1010.0,0,1942.9999999999998,0.0,47.49249999999999,-122.278,194000
