iter	RMSE
0	0.02008601405
1	0.01868474668
2	0.01733706413
3	0.01619044813
4	0.01517224174
5	0.01426479934
6	0.01353716531
7	0.01289920876
8	0.01232105714
9	0.01182383105
10	0.01140684086
11	0.01101816358
12	0.01065766841
13	0.01032867461
14	0.01006066568
15	0.009816832191
16	0.00961540787
17	0.009428073486
18	0.009262959526
19	0.009106073969
20	0.008966780639
21	0.008914089345
22	0.008783200403
23	0.008676384598
24	0.008596015143
25	0.008515923051
26	0.008449382246
27	0.00837819376
28	0.008324307341
29	0.008253917305
30	0.008213930013
31	0.008157853833
32	0.008106596228
33	0.008078009108
34	0.008047189288
35	0.008016733517
36	0.007986253062
37	0.007949055405
38	0.007923952647
39	0.007894434109
40	0.00786719905
41	0.007841882621
42	0.007805525812
43	0.007781699219
44	0.007751166643
45	0.007729888278
46	0.007714580924
47	0.007701467787
48	0.007692072172
49	0.007673229308
50	0.007659198825
51	0.007643609612
52	0.007629579451
53	0.007608896325
54	0.007575919192
55	0.007565701054
56	0.007550153651
57	0.00753024673
58	0.007520536876
59	0.007510952367
60	0.007501036051
61	0.007494509108
62	0.007483810589
63	0.007471245962
64	0.00744241973
65	0.007431352759
66	0.007421944465
67	0.007412937629
68	0.007402335369
69	0.007393557929
70	0.007381565684
71	0.007369080776
72	0.007353354126
73	0.007343932759
74	0.007331523195
75	0.007320995531
76	0.007314800205
77	0.007302963093
78	0.007296809495
79	0.007285466738
80	0.007277276216
81	0.007254052337
82	0.007242142472
83	0.007231749364
84	0.007216224508
85	0.007208071491
86	0.007195822589
87	0.007187924343
88	0.007180839454
89	0.00717316406
90	0.007160666807
91	0.007151228706
92	0.007143840071
93	0.007134822447
94	0.007129085189
95	0.007116880979
96	0.007104361306
97	0.007093221732
98	0.007082686108
99	0.007070429943
100	0.007062305581
101	0.007053016631
102	0.007041016141
103	0.007034553627
104	0.007024579635
105	0.007012657341
106	0.007004758443
107	0.006993606559
108	0.006983786533
109	0.006977534703
110	0.006966726261
111	0.006956606859
112	0.006948755778
113	0.006935714516
114	0.00692286555
115	0.00691580578
116	0.006912537429
117	0.00690135315
118	0.006895372157
119	0.006890703301
120	0.006881775256
121	0.006878967742
122	0.006874179332
123	0.006867719041
124	0.006858773121
125	0.00684789533
126	0.006841096381
127	0.006834139004
128	0.006823862656
